accuracy,error_reason,error_type,expected,f1,forbidden_sql_command,iou,not_sql_format,output,precision,recall,reward
0.0,no such column: T1.year,<class 'sqlite3.OperationalError'>,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",0.0,False,0.0,False,"('SELECT T1.year, T1.official_name FROM city AS T1 JOIN farm_competition AS T2 ON T1.city_id = T2.city_id',)",0.0,0.0,-3.0
0.0,no such column: T2.Official_Name,<class 'sqlite3.OperationalError'>,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,0.0,False,0.0,False,"('SELECT T2.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1',)",0.0,0.0,-3.0
0.0,no such table: farm_competitition,<class 'sqlite3.OperationalError'>,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,0.0,False,0.0,False,"('SELECT t1.official_name FROM city AS t1 JOIN farm_competitition AS t2 ON t1.city_id = t2.host_city_id GROUP BY t1.city_id HAVING count(*) > 1',)",0.0,0.0,-50.0
0.0,no such column: T3.Official_Name,<class 'sqlite3.OperationalError'>,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,0.0,False,0.0,False,"('SELECT T3.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.city_id = T2.host_city_ID GROUP BY T1.city_id HAVING COUNT(*) > 1',)",0.0,0.0,-3.0
1.0,,,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,1.0,False,1.0,False,"('SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1',)",1.0,1.0,10.0
0.0,no such column: T1.Host_city_id,<class 'sqlite3.OperationalError'>,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,0.0,False,0.0,False,"('SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.Host_city_id = T2.Host_city_id GROUP BY T2.Host_city_id HAVING COUNT(*) > 1',)",0.0,0.0,-3.0
0.0,no such column: T2.Official_Name,<class 'sqlite3.OperationalError'>,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,0.0,False,0.0,False,"('SELECT T2.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1',)",0.0,0.0,-3.0
1.0,,,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,1.0,False,1.0,False,"('SELECT DISTINCT T2.Official_Name FROM farm_competition AS T1 JOIN city AS T2 ON T1.Host_city_ID = T2.City_ID GROUP BY T1.Host_city_ID HAVING COUNT(*) > 1',)",1.0,1.0,10.0
1.0,,,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',1.0,False,1.0,False,"('SELECT Hosts FROM farm_competition WHERE Theme != ""Aliens""',)",1.0,1.0,10.0
1.0,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,1.0,False,1.0,False,"('SELECT Status FROM city GROUP BY Status ORDER BY COUNT (*) DESC LIMIT 1',)",1.0,1.0,10.0
1.0,,,SELECT count(DISTINCT Status) FROM city,1.0,False,1.0,False,"('SELECT count(DISTINCT Status) FROM city',)",1.0,1.0,10.0
1,,,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),0.0,False,0.0,False,"('SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition)',)",0.0,0.0,3.0
