steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10	10	71.2257399559021	12.4	10.0	5.770615218501403	22.0	7.0	1.0556352	0.05667185	201.20733993530274	-0.00014601049741031603	489	0.9999713897705078
20	20	167.18407034873962	16.0	14.0	8.689073598491383	31.0	10.0	3.905998	0.04106167	142.25338821411134	-4.0475819259881975e-05	1467	0.987957239151001
30	30	264.18123173713684	11.6	10.0	3.7815340802378077	16.0	7.0	7.0581865	0.040175263	227.92762496948242	-0.00024538384983316066	2445	0.9931625723838806
40	40	333.634747505188	16.6	13.0	7.956129712366434	29.0	10.0	10.769335	0.04608802	146.28705368041992	0.00012666060123592615	2934	0.9689136147499084
50	50	397.63145112991333	13.4	13.0	2.8809720581775866	16.0	9.0	14.86013	0.042737443	87.71474647521973	8.873800281435251e-05	3912	0.9477168321609497
60	60	481.7080132961273	15.0	11.0	6.557438524302	24.0	10.0	15.155909	0.044982616	62.248266067504886	-0.00021779398201033474	4890	0.8737165927886963
70	70	537.8098061084747	16.4	18.0	7.956129712366434	26.0	6.0	17.416162	0.044844933	38.53361316680908	3.073425468755886e-05	5379	0.9070025086402893
80	80	644.7202777862549	9.6	10.0	3.361547262794322	13.0	4.0	17.237906	0.057260785	88.58852165222169	3.599655348807573e-05	6357	0.9423021078109741
90	90	715.6594703197479	13.4	12.0	3.646916505762094	19.0	10.0	22.315798	0.0934715	64.42885372161865	8.164845436112955e-05	7335	0.8597234487533569
100	100	770.6273784637451	12.4	11.0	6.18869937870632	23.0	8.0	16.16446	0.068745896	44.03788837432862	-1.8769836169667543e-05	7824	-0.5327205657958984
110	110	836.2596769332886	13.4	15.0	3.847076812334269	17.0	7.0	14.273188	0.033471808	63.33493320465088	6.481385644292459e-05	8802	0.95180344581604
120	120	910.8225338459015	11.3	11.0	3.6674241641784495	15.0	6.0	15.668729	0.021524101	22.07305826187134	-9.816427365876734e-05	9780	0.7326530814170837
130	130	997.521785736084	13.6	10.0	8.018728078691781	27.0	8.0	19.732328	0.02427034	65.8909755706787	-0.00014252341556129976	10269	0.9208804368972778
140	140	1085.3487584590912	17.0	13.0	10.88577052853862	35.0	8.0	14.77404	0.058697905	19895.064765625	-3.2641924917697907e-06	11247	0.9996846318244934
150	150	1184.5505192279816	12.6	13.0	2.073644135332772	15.0	10.0	14.858678	0.035878792	45.210120391845706	1.6710080672055483e-05	12225	0.08305275440216064
160	160	1292.4758422374725	11.8	13.0	3.271085446759225	15.0	7.0	13.40867	0.052975878	39.25049674987793	-6.205579556990415e-05	13203	0.8611646890640259
170	170	1386.4289758205414	13.8	15.0	5.449770637375485	21.0	7.0	11.974943	0.056623966	25.30333381652832	0.00010605437913909555	14181	0.8644985556602478
180	180	1459.073974609375	15.0	14.0	5.916079783099616	22.0	8.0	16.420458	0.044728614	54.592047157287595	1.6459589824080466e-05	15159	0.9313941597938538
190	190	1550.6781177520752	14.6	14.0	2.6076809620810595	18.0	11.0	15.114697	0.053391762	79.41104560852051	-7.51426356146112e-05	16137	0.956744909286499
200	200	1611.573454618454	13.0	12.0	3.8078865529319543	19.0	9.0	12.232164	0.04774228	12.010931177139282	-3.1382981105707586e-05	16626	0.12656068801879883
