accuracy,error_type,f1,iou,precision,recall,reward
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,10.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,5.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,5.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,8.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,7.0
0.0,No Error,-1.0,0.0,0.0,0.0,5.0
0.0,No Error,-1.0,0.0,0.0,0.0,7.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,No Error,-1.0,0.0,0.0,0.0,7.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,No Error,-1.0,0.0,0.0,0.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
